index,n_imgs,maxN,stepN,repN,batch_size,n_threads,n_imgs_seq_cpu,time_seq_cpu,n_imgs_seq_gpu,time_seq_gpu,n_imgs_parallel,time_parallel
0,42,21,2,4,1,2,1,0.004114547666783134,1,0.0018109810043824837,1,0.004704096999679071
1,42,21,2,4,2,2,2,0.005186649669970696,2,0.004247576662843737,2,0.006233352663305898
2,42,21,2,4,6,2,6,0.017676454333316844,6,0.012724831331676493,6,0.01638491966878064
3,42,21,2,4,10,2,10,0.02815863100113347,10,0.021449937999326114,10,0.02805196733485597
4,42,21,2,4,14,2,14,0.04107979866967071,14,0.03337276966582673,14,0.030830348332528956
5,42,21,2,4,18,2,18,0.055323092000132114,18,0.030425860662944615,18,0.03893239800042162
6,42,21,2,4,22,2,22,0.06111544666540188,22,0.047740826334726684,22,0.04416370333638042
7,42,21,2,4,26,2,26,0.08261844966909848,26,0.055319058999884874,26,0.05915914033539593
8,42,21,2,4,30,2,30,0.08765799399892178,30,0.051676271667626374,30,0.06147780233004596
9,42,21,2,4,34,2,34,0.110629418331276,34,0.05756402333402851,34,0.07794579399827246
10,42,21,2,4,38,2,38,0.12287674033238243,38,0.06576790300217301,38,0.0899987886659801
