index,n_imgs,maxN,stepN,repN,batch_size,n_threads,n_imgs_sequence,time_sequence,n_imgs_parallel,time_parallel
0,84,21,2,4,1,4,1,0.001966143332538195,1,0.002099306002492085
1,84,21,2,4,4,4,4,0.007217590997849281,4,0.0026695560033355528
2,84,21,2,4,12,4,12,0.021903898998668108,12,0.00607552399742417
3,84,21,2,4,20,4,20,0.04041209666562887,20,0.00964022099894161
4,84,21,2,4,28,4,28,0.05087529333347144,28,0.01570654533376607
5,84,21,2,4,36,4,36,0.06673210100173795,36,0.018923585332231596
6,84,21,2,4,44,4,44,0.08155946666859866,44,0.021096223334704216
7,84,21,2,4,52,4,52,0.09684779366458922,52,0.02474720600002911
8,84,21,2,4,60,4,60,0.11295721033335819,60,0.028777210332918912
9,84,21,2,4,68,4,68,0.1291286913328804,68,0.03298577533375161
10,84,21,2,4,76,4,76,0.17684306100030275,76,0.0370322123344522
