index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait0_2,wait0_3,wait_0,wait_1,wait_2,wait_3,copy1_0,copy1_1,copy1_2,copy1_3,copy2_0,copy2_1,copy2_2,copy2_3,run_0,run_1,run_2,run_3,ttime_0,ttime_1,ttime_2,ttime_3,wtime_0,wtime_1,wtime_2,wtime_3
0,1,81,2,4,1,1,sequence,0.0017243744996449095,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,81,2,4,3,1,sequence,0.005125499999849126,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,81,2,4,5,1,sequence,0.008465252500172937,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,81,2,4,7,1,sequence,0.011681308249535505,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,81,2,4,9,1,sequence,0.01507420899997669,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,81,2,4,11,1,sequence,0.01990176774961583,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,81,2,4,13,1,sequence,0.021862160499949823,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,81,2,4,15,1,sequence,0.025703598000291095,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17,81,2,4,17,1,sequence,0.029476212499503163,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19,81,2,4,19,1,sequence,0.03306920750037534,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21,81,2,4,21,1,sequence,0.03988360824951087,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23,81,2,4,23,1,sequence,0.03931744975034235,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25,81,2,4,25,1,sequence,0.04286609575046896,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,81,2,4,27,1,sequence,0.045544142500148155,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,29,81,2,4,29,1,sequence,0.048666076250810875,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31,81,2,4,31,1,sequence,0.05269670825055073,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,33,81,2,4,33,1,sequence,0.05829199449999578,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,35,81,2,4,35,1,sequence,0.05930976499985263,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,37,81,2,4,37,1,sequence,0.06336014624957897,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,39,81,2,4,39,1,sequence,0.06625233774957451,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,41,81,2,4,41,1,sequence,0.07019382500038773,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,43,81,2,4,43,1,sequence,0.07352062774953083,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,45,81,2,4,45,1,sequence,0.08236666949960636,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,47,81,2,4,47,1,sequence,0.08180973574962991,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,49,81,2,4,49,1,sequence,0.08363355750043411,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,51,81,2,4,51,1,sequence,0.0883719192497665,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,53,81,2,4,53,1,sequence,0.09262821999982407,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,55,81,2,4,55,1,sequence,0.09875616599947534,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,57,81,2,4,57,1,sequence,0.09851377300037711,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,59,81,2,4,59,1,sequence,0.10109684749932057,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,61,81,2,4,61,1,sequence,0.10675930724937643,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,63,81,2,4,63,1,sequence,0.1090605899998991,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,65,81,2,4,65,1,sequence,0.11840279224998085,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,67,81,2,4,67,1,sequence,0.11851373899935425,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,69,81,2,4,69,1,sequence,0.11881103025007178,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,71,81,2,4,71,1,sequence,0.125756452499445,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,73,81,2,4,73,1,sequence,0.13301611550014059,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,75,81,2,4,75,1,sequence,0.12935067250055,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,77,81,2,4,77,1,sequence,0.13668565824991674,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,79,81,2,4,79,1,sequence,0.13850528000057238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,81,2,4,1,4,parallel,0.003939735000130895,True,0.0,0.0008000000000000001,0.0012000000000000003,0.0013500000000000003,0.0,0.0008000000000000001,0.0012000000000000003,0.0013500000000000003,0.0001702702484180918,0.00010117225065187085,0.00011332174926792504,0.00012339625027379952,8.112299929052824e-05,0.00014894600008119596,0.00016476999917358626,8.199749572668225e-06,0.0014121837511993363,0.0006687052491543,0.0003235655003663851,0.00017377024960296694,0.0016694017504050862,0.0022941082506804378,0.0028123677511757705,0.0030230370011850027,1.0500007192604244e-06,0.001369909999993979,0.0022058105014366447,0.002715745750720089
