index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait0_2,wait0_3,wait_0,wait_1,wait_2,wait_3,copy1_0,copy1_1,copy1_2,copy1_3,copy2_0,copy2_1,copy2_2,copy2_3,run_0,run_1,run_2,run_3,ttime_0,ttime_1,ttime_2,ttime_3,wtime_0,wtime_1,wtime_2,wtime_3
0,1,81,2,4,1,1,sequence,0.0017898977503136848,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,81,2,4,3,1,sequence,0.005226347499956319,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,81,2,4,5,1,sequence,0.008659972249915882,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,81,2,4,7,1,sequence,0.012245242749486351,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,81,2,4,9,1,sequence,0.01494088900017232,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,81,2,4,11,1,sequence,0.02045382825053821,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,81,2,4,13,1,sequence,0.024081347499304684,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,81,2,4,15,1,sequence,0.02460830724976404,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17,81,2,4,17,1,sequence,0.02796645900070871,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19,81,2,4,19,1,sequence,0.03100564550004492,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21,81,2,4,21,1,sequence,0.03557291225024528,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23,81,2,4,23,1,sequence,0.03765937625030347,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25,81,2,4,25,1,sequence,0.04130319500018231,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,81,2,4,27,1,sequence,0.044466677750278905,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,29,81,2,4,29,1,sequence,0.04765435974968568,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31,81,2,4,31,1,sequence,0.050780093500179646,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,33,81,2,4,33,1,sequence,0.05472620324962918,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,35,81,2,4,35,1,sequence,0.05790076075027173,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,37,81,2,4,37,1,sequence,0.062207010249949235,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
