index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,wait0_0,wait_0,order,wait0_1,wait0_2,wait0_3,wait_1,wait_2,wait_3
0,1,81,2,4,1,1,sequence,0.0017854813333239388,0,0,True,,,,,,
1,3,81,2,4,3,1,sequence,0.005078885000026882,0,0,True,,,,,,
2,5,81,2,4,5,1,sequence,0.008700412333382701,0,0,True,,,,,,
3,7,81,2,4,7,1,sequence,0.0123081069999292,0,0,True,,,,,,
4,9,81,2,4,9,1,sequence,0.01568794166663186,0,0,True,,,,,,
5,11,81,2,4,11,1,sequence,0.019610093999896588,0,0,True,,,,,,
6,13,81,2,4,13,1,sequence,0.02184476166667082,0,0,True,,,,,,
7,15,81,2,4,15,1,sequence,0.02533819333333061,0,0,True,,,,,,
8,17,81,2,4,17,1,sequence,0.028763326333319128,0,0,True,,,,,,
9,19,81,2,4,19,1,sequence,0.032015098000101716,0,0,True,,,,,,
10,21,81,2,4,21,1,sequence,0.039741705666680595,0,0,True,,,,,,
11,23,81,2,4,23,1,sequence,0.03933868400008578,0,0,True,,,,,,
12,25,81,2,4,25,1,sequence,0.042335929999959866,0,0,True,,,,,,
13,27,81,2,4,27,1,sequence,0.049214261999926144,0,0,True,,,,,,
14,29,81,2,4,29,1,sequence,0.04994834066671198,0,0,True,,,,,,
15,31,81,2,4,31,1,sequence,0.054365078333224424,0,0,True,,,,,,
16,33,81,2,4,33,1,sequence,0.05626418966676283,0,0,True,,,,,,
17,35,81,2,4,35,1,sequence,0.06776358700002068,0,0,True,,,,,,
18,37,81,2,4,37,1,sequence,0.06359440866663135,0,0,True,,,,,,
19,39,81,2,4,39,1,sequence,0.07076453266654426,0,0,True,,,,,,
20,41,81,2,4,41,1,sequence,0.07092809433333969,0,0,True,,,,,,
21,43,81,2,4,43,1,sequence,0.07457535466664922,0,0,True,,,,,,
22,45,81,2,4,45,1,sequence,0.07727907533338414,0,0,True,,,,,,
23,47,81,2,4,47,1,sequence,0.08115139566674164,0,0,True,,,,,,
24,49,81,2,4,49,1,sequence,0.08568966299996343,0,0,True,,,,,,
25,51,81,2,4,51,1,sequence,0.09065028499996212,0,0,True,,,,,,
26,53,81,2,4,53,1,sequence,0.09138233000006342,0,0,True,,,,,,
27,55,81,2,4,55,1,sequence,0.09429934466667571,0,0,True,,,,,,
